               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.023676,            0.010291,          0.00087285,             0.48733,             0.82141,             0.47453,             0.32194,            0.017641,            0.013634,          0.00087682,            0.005677,            0.005677,            0.005677
                 133,            0.023019,           0.0099585,          0.00088671,             0.49272,             0.80027,             0.47541,             0.32283,            0.018179,             0.01356,          0.00088313,            0.005644,            0.005644,            0.005644
                 134,            0.023176,            0.010187,          0.00094167,             0.49498,             0.80795,             0.47099,             0.31604,            0.017865,            0.013461,          0.00091075,            0.005611,            0.005611,            0.005611
                 135,             0.02349,            0.010047,           0.0010092,             0.49622,             0.84631,              0.4811,             0.32179,            0.017792,            0.013429,          0.00089552,            0.005578,            0.005578,            0.005578
                 136,            0.023201,            0.010426,          0.00098037,             0.47937,             0.85914,             0.47621,             0.32078,            0.017771,            0.013553,          0.00088894,            0.005545,            0.005545,            0.005545
                 137,            0.023121,            0.010226,          0.00089556,             0.48411,             0.80713,             0.47162,              0.3232,            0.017659,            0.013849,          0.00094115,            0.005512,            0.005512,            0.005512
                 138,            0.023134,            0.010297,          0.00093566,             0.48238,             0.81065,             0.46749,             0.32239,            0.017323,             0.01338,          0.00085031,            0.005479,            0.005479,            0.005479
                 139,            0.023857,             0.01085,          0.00094169,             0.48671,             0.79731,             0.46441,             0.31548,            0.017563,            0.013498,          0.00089574,            0.005446,            0.005446,            0.005446
                 140,            0.022605,            0.010112,          0.00085293,             0.47743,             0.79941,              0.4633,             0.31873,            0.017599,            0.013975,          0.00084355,            0.005413,            0.005413,            0.005413
                 141,            0.022155,           0.0099908,          0.00089957,             0.47963,             0.84241,             0.47549,              0.3217,             0.01763,            0.013511,          0.00085205,             0.00538,             0.00538,             0.00538
                 142,            0.022092,            0.010034,          0.00093164,             0.48104,             0.84504,             0.47569,             0.31775,            0.017381,            0.013687,          0.00087725,            0.005347,            0.005347,            0.005347
                 143,            0.023266,            0.010274,          0.00094924,             0.48353,             0.82608,             0.47755,             0.32489,            0.017188,            0.013724,          0.00087271,            0.005314,            0.005314,            0.005314
                 144,            0.023792,           0.0098133,          0.00096099,             0.47747,              0.8363,             0.47521,             0.31982,            0.017577,            0.013606,          0.00089173,            0.005281,            0.005281,            0.005281
                 145,             0.02261,            0.010237,          0.00088512,             0.48766,             0.84424,             0.47613,             0.31921,            0.017222,            0.013482,          0.00083762,            0.005248,            0.005248,            0.005248
                 146,            0.022559,            0.010103,           0.0008343,               0.473,             0.86524,             0.47266,             0.31879,             0.01699,            0.013683,          0.00085257,            0.005215,            0.005215,            0.005215
                 147,            0.022216,            0.010033,          0.00098637,             0.50043,             0.78577,             0.47837,             0.32547,             0.01693,            0.013388,          0.00084891,            0.005182,            0.005182,            0.005182
                 148,            0.021455,            0.010024,           0.0008839,             0.47857,              0.8261,             0.47881,             0.32764,            0.016818,            0.013802,          0.00087892,            0.005149,            0.005149,            0.005149
                 149,            0.022079,            0.009943,          0.00088774,             0.47944,             0.80171,             0.47106,             0.32253,            0.016712,            0.013899,          0.00084425,            0.005116,            0.005116,            0.005116
                 150,            0.022412,           0.0098731,          0.00082592,             0.49252,             0.81426,             0.47211,             0.32278,            0.016452,            0.013568,          0.00085765,            0.005083,            0.005083,            0.005083
                 151,            0.022022,           0.0099363,          0.00083032,             0.47676,             0.83435,             0.46791,             0.31676,            0.016612,            0.013695,          0.00085167,             0.00505,             0.00505,             0.00505
                 152,            0.022202,            0.010133,           0.0010344,             0.48337,             0.84647,             0.47548,             0.32423,            0.017139,            0.013801,          0.00085742,            0.005017,            0.005017,            0.005017
                 153,            0.022552,           0.0099946,           0.0011824,             0.48085,             0.83015,             0.47432,             0.32061,            0.016836,            0.013902,          0.00082655,            0.004984,            0.004984,            0.004984
                 154,            0.022595,            0.010051,          0.00093833,             0.48255,             0.78778,             0.46855,             0.31921,            0.017423,            0.014171,          0.00091968,            0.004951,            0.004951,            0.004951
                 155,            0.022884,            0.010342,          0.00092162,             0.48415,             0.80368,             0.46777,             0.31796,            0.016766,            0.013983,          0.00089431,            0.004918,            0.004918,            0.004918
